id,name,year,api_pitch_group,team_name,bat_side_formatted,miss_distance,flawed_percent,perfect_percent,tied_up_percent,avg_x_tied_up,centered_percent,flailed_percent,avg_x_flail,early_percent,avg_y_early,on_time_percent,late_percent,avg_y_late,n_swings,whiff_rate,competitive_percent,over_percent,avg_z_over,lined_up_percent,under_percent,avg_z_under,window_start,window_end,window_num
680574,Matt McLain,2023,FF,Reds,R,0.3655191,0,0,0,,0.42857142857142855,0.5714285714285714,6.975854303723548,0,,0.5714285714285714,0.42857142857142855,-10.134327297713172,7,0.14285714285714285,1,0,,0.2857142857142857,0.7142857142857143,2.781645710811222,2023-07-01,2023-07-14,14
641857,Ryan McMahon,2023,CU,Rockies,L,8.147617056,0.14285714285714285,0.14285714285714285,0,,0.7142857142857143,0.2857142857142857,7.985669124746147,0.5714285714285714,12.083787399530802,0.42857142857142855,0,,7,0.14285714285714285,1,0.2857142857142857,-2.998798015344628,0.5714285714285714,0.14285714285714285,2.098331984019111,2023-07-01,2023-07-14,14
621043,Carlos Correa,2023,FF,Twins,R,,0,0.2857142857142857,0.14285714285714285,-6.951782834399786,0.5714285714285714,0.2857142857142857,5.285125650511956,0,,0.42857142857142855,0.5714285714285714,-10.419385170363109,7,0,0.8571428571428571,0,,0.7142857142857143,0.2857142857142857,2.303258373985161,2023-07-01,2023-07-14,14
592669,Hunter Renfroe,2023,CU,Angels,R,,0,0.14285714285714285,0,,0.7142857142857143,0.2857142857142857,5.639460184481692,0.7142857142857143,14.47544907228511,0.2857142857142857,0,,7,0,0.8571428571428571,0.14285714285714285,-2.3947115314345133,0.8571428571428571,0,,2023-07-01,2023-07-14,14
608369,Corey Seager,2023,FF,Rangers,L,1.600233084,0.2857142857142857,0.14285714285714285,0,,0.7142857142857143,0.2857142857142857,5.73630984258957,0.14285714285714285,9.051373036805371,0.7142857142857143,0.14285714285714285,-7.703664528972749,7,0.2857142857142857,1,0.2857142857142857,-2.9142952349279123,0.2857142857142857,0.42857142857142855,3.313640364818851,2023-07-01,2023-07-14,14
608324,Alex Bregman,2023,CU,Astros,R,0.390875202,0,0.14285714285714285,0,,0.5714285714285714,0.42857142857142855,6.609494438765896,0.42857142857142855,10.257205898343585,0.5714285714285714,0,,7,0.2857142857142857,0.8571428571428571,0,,0.5714285714285714,0.42857142857142855,2.6525668623759557,2023-07-01,2023-07-14,14
656716,Zach McKinstry,2023,CU,Tigers,L,7.35033068,0.2857142857142857,0,0.2857142857142857,-8.46677447162111,0.2857142857142857,0.42857142857142855,13.442074323629324,0.8571428571428571,14.847947861812866,0.14285714285714285,0,,7,0.42857142857142855,1,0.42857142857142855,-4.493822075964974,0.42857142857142855,0.14285714285714285,2.2280798736276166,2023-07-01,2023-07-14,14
657136,Connor Wong,2023,FF,Red Sox,R,0.472362744,0,0.2857142857142857,0,,1,0,,0,,1,0,,7,0.2857142857142857,1,0,,0.42857142857142855,0.5714285714285714,2.678727047099129,2023-07-01,2023-07-14,14
607208,Trea Turner,2023,CU,Phillies,R,3.642002934,0.14285714285714285,0.14285714285714285,0,,0.7142857142857143,0.2857142857142857,8.396542470745677,0.8571428571428571,12.069077997777347,0.14285714285714285,0,,7,0.2857142857142857,0.8571428571428571,0.2857142857142857,-2.98606183104616,0.7142857142857143,0,,2023-07-01,2023-07-14,14
527038,Wilmer Flores,2023,FF,Giants,R,,0,0.42857142857142855,0.14285714285714285,-4.061258231795147,0.8571428571428571,0,,0,,0.8571428571428571,0.14285714285714285,-8.50277286167701,7,0,1,0,,0.7142857142857143,0.2857142857142857,2.4084475684318516,2023-07-01,2023-07-14,14
